ID,Date,Element,Data_Value
ASN00086071,2012-06-12,TMAX,165
ASN00086104,2014-11-24,TMAX,217
ASN00086077,2010-06-14,TMIN,76
ASN00087031,2007-01-16,TMAX,412
ASN00086068,2011-10-13,TMIN,36
ASN00086104,2011-09-17,TMAX,243
ASN00086104,2014-11-24,TMIN,120
ASN00086071,2005-09-07,TMIN,102
ASN00086104,2012-04-22,TMIN,142
ASN00086383,2005-03-08,TMAX,199
ASN00086104,2012-04-22,TMAX,231
ASN00086372,2005-03-08,TMAX,142
ASN00086282,2005-08-20,TMAX,152
ASN00086038,2007-05-12,TMIN,62
ASN00086038,2007-05-12,TMAX,192
ASN00086077,2007-01-30,TMIN,137
ASN00086282,2012-09-28,TMAX,165
ASN00086282,2012-09-28,TMIN,87
ASN00085283,2011-09-20,TMAX,125
ASN00086077,2008-11-29,TMIN,137
ASN00086351,2011-07-01,TMAX,164
ASN00087031,2005-03-18,TMAX,225
ASN00086038,2011-06-30,TMAX,164
ASN00086351,2006-10-15,TMIN,51
ASN00086351,2006-10-15,TMAX,155
ASN00086383,2007-07-21,TMIN,9
ASN00087031,2005-03-18,TMIN,94
ASN00086068,2015-09-10,TMAX,154
ASN00086038,2011-06-30,TMIN,50
ASN00086077,2008-04-29,TMAX,147
ASN00086383,2007-05-23,TMIN,66
ASN00086351,2011-09-17,TMAX,248
ASN00087031,2014-01-27,TMIN,145
ASN00085283,2011-09-20,TMIN,55
ASN00086068,2008-11-27,TMIN,165
ASN00086282,2005-11-29,TMIN,131
ASN00086068,2008-11-27,TMAX,307
ASN00086104,2010-01-14,TMIN,108
ASN00085283,2008-03-27,TMIN,90
ASN00085283,2008-03-28,TMIN,55
ASN00086104,2010-04-22,TMIN,136
ASN00086351,2008-04-10,TMIN,122
ASN00086351,2011-07-01,TMIN,48
ASN00086077,2012-01-14,TMAX,192
ASN00086038,2014-06-05,TMIN,106
ASN00086104,2005-07-23,TMAX,142
ASN00086104,2005-07-23,TMIN,114
ASN00086351,2006-02-21,TMAX,230
ASN00086351,2008-04-10,TMAX,268
ASN00086071,2012-04-16,TMAX,212
ASN00085283,2011-11-02,TMAX,161
ASN00085283,2011-11-02,TMIN,106
ASN00086071,2012-06-12,TMIN,34
ASN00086077,2012-01-14,TMIN,135
ASN00086077,2010-03-09,TMIN,155
ASN00086104,2008-06-20,TMAX,141
ASN00086068,2005-08-14,TMIN,97
ASN00086077,2010-03-09,TMAX,196
ASN00086104,2010-01-14,TMAX,239
ASN00086038,2007-06-05,TMIN,39
ASN00086282,2005-03-20,TMAX,278
ASN00086071,2012-01-01,TMAX,339
ASN00086071,2005-09-07,TMAX,207
ASN00086068,2005-08-14,TMAX,137
ASN00086383,2005-03-08,TMIN,111
